,r,uz(r),u_laminar,u_plus,y_plus
12,0.233179258411,0.625158737961842,0.945627433446896,19.84720878583976,241.5375845679449
13,0.243809643179,0.623755054362368,0.9405568578929286,19.802645381737236,238.18916515173302
14,0.25441081452,0.622325902622526,0.9352751374552701,19.757273428591756,234.8499475479029
15,0.264981502197,0.620869636282421,0.9297848034934213,19.711040655465872,231.52033186297243
16,0.275520439621,0.61937972221421,0.9240884873510509,19.663739652074078,228.20071705439173
17,0.286026364012,0.617849324058474,0.9181889190900748,19.61515338129526,224.8915008798302
18,0.296498016542,0.616277071964737,0.9120889261866599,19.565238353841423,221.59307985213368
19,0.306934142492,0.614666477650316,0.9057914321727006,19.51410605785558,218.30584918987168
20,0.317333491398,0.613025209291421,0.8992994552371555,19.46199993853814,215.03020277134948
21,0.327694817204,0.611361110399895,0.892616106777637,19.40916900755239,211.76653308641534
22,0.338016878409,0.609677556018368,0.8857445899106353,19.355720413965713,208.5152311901574
23,0.348298438216,0.607973166206053,0.8786881979362953,19.301610348148255,205.27668665597128
24,0.358538264684,0.606245907604474,0.8714503127573859,19.246774256111152,202.05128752768152
25,0.36873513087,0.60449356359679,0.864034403262284,19.191141765875937,198.83942027481442
26,0.378887814978,0.602715198389632,0.8564440236611969,19.13468316836995,195.6414697456645
27,0.388995100508,0.600911190383474,0.848682811780771,19.077410476851192,192.457819120362
28,0.399055776398,0.599082002142211,0.8407544873233894,19.01933837655342,189.2888498661448
29,0.409068637171,0.597228665821158,0.8326628500830607,18.960499635797365,186.13494169105562
30,0.419032483081,0.595354101678842,0.8244117781229714,18.900986965405377,182.99647249795373
31,0.428946120253,0.593463181850579,0.8160052259198989,18.84095504335119,179.87381834041753
32,0.438808360829,0.591562517347579,0.8074472224665661,18.780613752520225,176.76735337675623
33,0.448618023108,0.589658330465579,0.79874186934267,18.72016063506477,173.6774498259119
34,0.458373931691,0.587752913824526,0.7898933387461344,18.659668475869672,170.60447792178658
35,0.468074917618,0.585843707098105,0.7809058714969025,18.599055991049983,167.5488058700894
36,0.477719818512,0.583927503995737,0.7717837750008618,18.538221388989136,164.5107998029784
37,0.487307478714,0.582002868617526,0.7625314211894044,18.47711908349709,161.49082373653746
38,0.496836749425,0.580070267405526,0.7531532444207998,18.415763882929337,158.48923952604844
39,0.506306488841,0.578131182311053,0.7436537393574982,18.354202835492032,155.50640682346818
40,0.515715562293,0.576184283246526,0.7340374588088149,18.292393714268517,152.54268303333035
41,0.525062842378,0.574224452149263,0.7243090115539355,18.230174033713183,149.59842327148232
42,0.5343472091,0.572245943593158,0.7144730601270408,18.167361391078437,146.67398032067229
43,0.543567550001,0.570245160770947,0.7045343185859103,18.103841596830648,143.769704589286
44,0.552722760293,0.568220853339842,0.6944975502540869,18.03957495574865,140.88594406976875
45,0.561811742993,0.56617198401679,0.6843675654351673,17.974528536719,138.0230442961024
46,0.570833409054,0.564098390693789,0.6741492191077887,17.908697193222626,135.18134830254186
47,0.579786677493,0.562002867106105,0.663847408601628,17.84216961928835,132.36119658329753
48,0.588670475524,0.559890897578,0.6534670712463477,17.775119928340594,129.5629270506415
49,0.597483738686,0.557769174421895,0.6430131820057996,17.7077605843726,126.78687499458991
50,0.606225410967,0.555643731180579,0.6324907510978919,17.640283137107957,124.03337304384458
51,0.614894444934,0.553517108917421,0.6219048215893079,17.5727682588818,121.3027511248447
52,0.623489801859,0.551386342131631,0.6112604669778249,17.505121802544355,118.59533642207887
53,0.63201045184,0.549244208687053,0.6005627887649989,17.43711448353882,115.91145333997162
54,0.640455373927,0.547085386248947,0.5898169140080265,17.368577331198384,113.25142346319537
55,0.648823556246,0.544908107583632,0.5790279928602937,17.299454240323346,110.6155655176121
56,0.657113996114,0.542710499743684,0.56820119611109,17.229685749570027,108.00419533404995
57,0.665325700166,0.540491872828263,0.5573417126986219,17.159249956331653,105.41762580830026
58,0.67345768447,0.538254431708053,0.5464547472283059,17.0882168596759,102.85616686489398
59,0.681508974647,0.536000824220895,0.5355455174755948,17.016670521757344,100.3201254193034
60,0.689478605987,0.53373346349021,0.5246192518862233,16.944687553141353,97.80980534140399
61,0.697365623562,0.531455433672263,0.5136811870739828,16.872365867988933,95.32550741988076
62,0.705169082346,0.529170794775789,0.5027365653033004,16.799834361308882,92.86752932443028
63,0.712888047322,0.526883495230842,0.49179063198542594,16.7272183857691,90.43616557205685
64,0.720521593601,0.524594928685105,0.4808486331546754,16.654562186158717,88.03170748958948
65,0.728068806525,0.522303586746526,0.4699158129652622,16.581817874845093,85.65444318123829
66,0.735528781782,0.520005820307,0.45899741117028703,16.50886960187518,83.30465749237102
67,0.742900625514,0.517696609952368,0.4480986606109074,16.43555801354447,80.98263197549474
68,0.750183454422,0.515370894086211,0.4372247847114751,16.36172241696839,78.68864485718238
69,0.757376395872,0.513022826133526,0.4263809949759395,16.2871771981777,76.42297100468393
70,0.764478588002,0.510645499095526,0.41557248848646844,16.21170307743001,74.1858818922234
71,0.771489179822,0.508233336889158,0.40480444541757765,16.135123028191344,71.9776455694999
72,0.778407331319,0.505782983779105,0.3940820265488326,16.05733051435269,69.79852662861437
73,0.785232213556,0.503293634286684,0.38341037079394436,15.978299964003062,67.64878617288579
74,0.79196300877,0.500767312417053,0.37279459273996884,15.898095634187133,65.5286817859828
75,0.798598910474,0.498205430577474,0.3622397801897401,15.816762365263235,63.43846749979498
76,0.80513912355,0.495606189951263,0.35175099172913793,15.734243049351193,61.378393765139265
77,0.811582864345,0.492964756062737,0.34133325430156525,15.650384204075374,59.348707421521226
78,0.817929360767,0.490274445173263,0.3309915607952868,15.56497363763862,57.34965166689666
79,0.824177852373,0.487529840314737,0.32073086765782943,15.477839375004157,55.38146602995252
80,0.830327590466,0.484727465352842,0.31055609251092653,15.388871057699225,53.44438633955358
81,0.83637783818,0.481862034712105,0.3004721118013497,15.297900882070774,51.538644697968536
82,0.842327870571,0.478924991553632,0.2904837584593246,15.20465719012578,49.66446945220626
83,0.848176974702,0.475906326068737,0.2805958195853627,15.108822195755156,47.8220851672421
84,0.853924449729,0.472795375303684,0.27081303415502467,15.010057377146406,46.011712598929115
85,0.859569606987,0.46957951966679,0.2611400907442143,14.907962094180931,44.233568666909136
86,0.865111770069,0.466243123040421,0.2515816252880817,14.802039939670536,42.48786642972919
