,r,uz(r),u_plus,y_plus
0,0.00454598748105,0.917496573074,29.472779943374917,74.37308433560528
1,0.0136379624431,0.917375088229,29.468877480730132,73.69379808819876
2,0.0236225949647,0.917102143143,29.46010965456883,72.9478189598311
3,0.0344808787301,0.916640659885,29.445285408996973,72.1365669641909
4,0.0461921443791,0.915952862627,29.42319126954665,71.26158636555358
5,0.0587340988519,0.915001082199,29.392617187929243,70.3245427392202
6,0.0720828678255,0.91374804481,29.352365816631927,69.32721980097833
7,0.0862130411592,0.912156741796,29.301248324827334,68.27151601174478
8,0.101097721265,0.910189880866,29.23806677072638,67.15944096368113
9,0.116708574309,0.907808012548,29.161553917326497,65.99311155479741
10,0.133015884144,0.904967135426,29.070296305341802,64.77474795950052
11,0.149988608879,0.901619667175,28.96276544580016,63.50666940213257
12,0.167594439969,0.897718252456,28.837440141209996,62.19128974221074
13,0.185799863713,0.893217362847,28.692857880209246,60.83111287974401
14,0.204570225052,0.888075621116,28.527689500282,59.42872798871053
15,0.223869793537,0.882257021283,28.340778379860044,57.98680458840843
16,0.243661831342,0.875724212761,28.130924704509496,56.50808746201909
17,0.263908663198,0.868435555173,27.896790858696857,54.995391431647285
18,0.28457174811,0.86034866036,27.637015205856848,53.451596000148434
19,0.305611752722,0.851423778937,27.35032087486933,51.879639869829454
20,0.326988626189,0.841626755703,27.03561069681559,50.28251534855732
21,0.348661676416,0.830924217159,26.691812613422247,48.66326265373552
22,0.370589647523,0.819281681186,26.31781895417031,47.0249641246826
23,0.392730798368,0.806670536976,25.912710652904188,45.37073835596463
24,0.415042982013,0.793068404075,25.475768781384655,43.70373426027367
25,0.437483725949,0.778458229974,25.006445561167638,42.02712507459913
26,0.460010312943,0.762828880939,24.50438334286047,40.34410231992795
27,0.482579862358,0.746174241644,23.96938568359594,38.65786972560562
28,0.505149411772,0.728492781437,23.40140341417724,36.971637131358
29,0.527675998767,0.709788233769,22.800556464403545,35.28861437661212
30,0.550116742702,0.690074404441,22.16728831858505,33.612005191012294
31,0.572428926348,0.66937830863,21.502466786357477,31.94500109524661
32,0.594570077193,0.647738246153,20.80732217430881,30.290775326528646
33,0.616498048299,0.625203894143,20.083450263014257,28.652476797550435
34,0.638171098527,0.601829519372,19.33259426621034,27.03322410265392
35,0.659547971994,0.577667066519,18.55642280494516,25.436099581381793
36,0.680587976606,0.5527733039,17.75675945015547,23.864143451062798
37,0.701251061518,0.527217175508,16.935818892548284,22.32034801956396
38,0.721497893374,0.501079081968,16.09618384468894,20.807651989192138
39,0.741289931179,0.474448913242,15.24074184550336,19.32893486280281
40,0.760589499664,0.447421953588,14.372553715108493,17.887011462500706
41,0.779359861003,0.420093113619,13.494668271007676,16.484626571467224
42,0.797565284747,0.392557207042,12.610131217788846,15.1244497090005
43,0.815171115837,0.364912653069,11.722104079824522,13.809070049078674
44,0.832143840572,0.337263386051,10.833925544522893,12.540991491710722
45,0.848451150407,0.309719217596,9.949123094659152,11.322627896413831
46,0.864062003451,0.282396292131,9.071427642412234,10.156298487530112
47,0.878946683556,0.25542000715,8.204867336610791,9.044223439526228
48,0.89307685689,0.228928874092,7.353891585875069,7.98851965027027
49,0.906425625864,0.20307588693,6.523415021857356,6.991196711998513
50,0.918967580337,0.178028187292,5.718806741910152,6.054153085650186
51,0.930678845986,0.153966062252,4.945858115085478,5.179172487012861
52,0.941537129751,0.131079901811,4.210685047172599,4.367920491402562
53,0.951521762273,0.109563698504,3.5195191683078066,3.6219413630050097
54,0.960613737235,0.089605070388,2.878387341009876,2.942655115602231
55,0.968795747546,0.0713742310864,2.2927573444651896,2.331354809167223
56,0.976052218286,0.0550158923811,1.7672777611625787,1.7892040884531413
57,0.982369336348,0.0406465320931,1.305690212910083,1.3172349683586422
58,0.987735076741,0.0283565923758,0.9108999767005448,0.916345868759022
59,0.992139225472,0.0182152666215,0.5851297547048955,0.587299904929557
60,0.995573398994,0.0102752620899,0.33007266438225696,0.3307234345323879
61,0.998031060163,0.00457603915314,0.14699629288085114,0.14710486542555798
62,0.99950753068,0.00114539984557,0.03679372608723355,0.03679372608723355
63,1.0,0.0,0.0,0.0
