 # t =    1520.00399999528     
 # r  uz(r)
  0.454598748105E-02  0.917496573074E+00
  0.136379624431E-01  0.917375088229E+00
  0.236225949647E-01  0.917102143143E+00
  0.344808787301E-01  0.916640659885E+00
  0.461921443791E-01  0.915952862627E+00
  0.587340988519E-01  0.915001082199E+00
  0.720828678255E-01  0.913748044810E+00
  0.862130411592E-01  0.912156741796E+00
  0.101097721265E+00  0.910189880866E+00
  0.116708574309E+00  0.907808012548E+00
  0.133015884144E+00  0.904967135426E+00
  0.149988608879E+00  0.901619667175E+00
  0.167594439969E+00  0.897718252456E+00
  0.185799863713E+00  0.893217362847E+00
  0.204570225052E+00  0.888075621116E+00
  0.223869793537E+00  0.882257021283E+00
  0.243661831342E+00  0.875724212761E+00
  0.263908663198E+00  0.868435555173E+00
  0.284571748110E+00  0.860348660360E+00
  0.305611752722E+00  0.851423778937E+00
  0.326988626189E+00  0.841626755703E+00
  0.348661676416E+00  0.830924217159E+00
  0.370589647523E+00  0.819281681186E+00
  0.392730798368E+00  0.806670536976E+00
  0.415042982013E+00  0.793068404075E+00
  0.437483725949E+00  0.778458229974E+00
  0.460010312943E+00  0.762828880939E+00
  0.482579862358E+00  0.746174241644E+00
  0.505149411772E+00  0.728492781437E+00
  0.527675998767E+00  0.709788233769E+00
  0.550116742702E+00  0.690074404441E+00
  0.572428926348E+00  0.669378308630E+00
  0.594570077193E+00  0.647738246153E+00
  0.616498048299E+00  0.625203894143E+00
  0.638171098527E+00  0.601829519372E+00
  0.659547971994E+00  0.577667066519E+00
  0.680587976606E+00  0.552773303900E+00
  0.701251061518E+00  0.527217175508E+00
  0.721497893374E+00  0.501079081968E+00
  0.741289931179E+00  0.474448913242E+00
  0.760589499664E+00  0.447421953588E+00
  0.779359861003E+00  0.420093113619E+00
  0.797565284747E+00  0.392557207042E+00
  0.815171115837E+00  0.364912653069E+00
  0.832143840572E+00  0.337263386051E+00
  0.848451150407E+00  0.309719217596E+00
  0.864062003451E+00  0.282396292131E+00
  0.878946683556E+00  0.255420007150E+00
  0.893076856890E+00  0.228928874092E+00
  0.906425625864E+00  0.203075886930E+00
  0.918967580337E+00  0.178028187292E+00
  0.930678845986E+00  0.153966062252E+00
  0.941537129751E+00  0.131079901811E+00
  0.951521762273E+00  0.109563698504E+00
  0.960613737235E+00  0.896050703880E-01
  0.968795747546E+00  0.713742310864E-01
  0.976052218286E+00  0.550158923811E-01
  0.982369336348E+00  0.406465320931E-01
  0.987735076741E+00  0.283565923758E-01
  0.992139225472E+00  0.182152666215E-01
  0.995573398994E+00  0.102752620899E-01
  0.998031060163E+00  0.457603915314E-02
  0.999507530680E+00  0.114539984557E-02
  0.100000000000E+01  0.000000000000E+00
