1,24,3456,256,0.000319,0.000130,0.000020,25059.673421,404264.988311,1964229.565498
1,24,3456,256,0.000030,0.000132,0.000014,264900.655541,556754.073402,1932877.765690
1,24,3456,256,0.000031,0.000130,0.000013,260230.322766,600781.049602,1974409.827727
2,24,3456,256,0.000027,0.000129,0.000013,585758.742817,1224552.181744,3969361.542589
2,24,3456,256,0.000028,0.000125,0.000014,574795.185456,1174915.344773,4081307.344177
2,24,3456,256,0.000028,0.000126,0.000014,568262.562838,1162959.807472,4065718.493090
3,24,3456,256,0.000028,0.000127,0.000014,854518.253643,1704787.688513,6038495.359306
4,24,3456,256,0.000028,0.000124,0.000013,1123319.399545,2426816.374549,8251609.535553
5,24,3456,256,0.000029,0.000128,0.000013,1382791.201210,2974641.356671,10012907.045049
6,24,3456,256,0.000027,0.000125,0.000014,1805665.126605,3399914.380298,12323590.329308
7,24,3456,256,0.000025,0.000125,0.000023,2252614.565065,2396542.151305,14297111.796146
8,24,3456,256,0.000046,0.000136,0.000019,1397044.355246,3417525.208045,15061924.418358
10,24,3456,256,0.000031,0.000132,0.000017,2613439.491912,4760770.573233,19424400.380022
12,24,3456,256,0.000028,0.000125,0.000013,3413090.575495,7231093.886388,24564209.209903
15,24,3456,256,0.000030,0.000125,0.000014,3993344.476075,8410428.881003,30688084.834683
18,24,3456,256,0.000028,0.000126,0.000014,5092478.362141,10645374.332267,36437534.822923
22,24,3456,256,0.000027,0.000124,0.000013,6598184.859897,13127471.074756,45449777.660402
26,24,3456,256,0.000024,0.000129,0.000017,8563546.620068,11964335.600595,51430249.213249
31,24,3456,256,0.000028,0.000137,0.000027,8711842.201414,9262717.663154,58031634.305662
38,24,3456,256,0.000030,0.000126,0.000014,10170965.610880,21083295.751135,77057739.201188
46,24,3456,256,0.000032,0.000129,0.000014,11338777.365033,26867202.130408,90956138.094231
55,24,3456,256,0.000027,0.000130,0.000017,16002909.728819,26184238.152780,108266050.907073
66,24,3456,256,0.000026,0.000127,0.000013,20575971.231093,40348456.046222,133066613.420749
79,24,3456,256,0.000030,0.000131,0.000014,21003656.258098,43619297.329155,154273337.228016
95,24,3456,256,0.000030,0.000128,0.000021,25333333.973307,36152604.286876,189501078.886289
114,24,3456,256,0.000027,0.000142,0.000019,33243418.364873,46867774.942409,205327369.369026
137,24,3456,256,0.000027,0.000135,0.000019,40936765.777999,56468651.696756,259235716.081904
164,24,3456,256,0.000029,0.000159,0.000015,44779684.176727,87234057.754986,264637845.604765
197,24,3456,256,0.000042,0.000126,0.000015,37386725.799465,106775065.289824,400025376.367699
237,24,3456,256,0.000028,0.000135,0.000017,67053337.458052,113648627.360407,448989856.360720
284,24,3456,256,0.000030,0.000135,0.000018,76295377.715247,125691525.835218,537115831.793810
341,24,3456,256,0.000029,0.000125,0.000013,94929874.269430,203324134.259833,698591554.415352
410,24,3456,256,0.000027,0.000126,0.000015,123433553.980004,225290223.677705,835861774.967273
492,24,3456,256,0.000031,0.000128,0.000014,125943944.687119,281585376.492737,985038896.211400
590,24,3456,256,0.000028,0.000127,0.000013,169564601.870362,360140378.558432,1190575657.238746
708,24,3456,256,0.000026,0.000128,0.000014,221587580.478711,400056546.944351,1415601849.647395
850,24,3456,256,0.000028,0.000128,0.000014,239546275.614059,482337886.927250,1705663334.241421
1020,24,3456,256,0.000029,0.000126,0.000014,281011077.012698,602347384.053165,2075989220.157438
1224,24,3456,256,0.000027,0.000127,0.000013,357842422.868859,728733981.076570,2458872841.870584
1469,24,3456,256,0.000030,0.000127,0.000014,391863927.520633,852397343.883365,2968543520.142674
1763,24,3456,256,0.000030,0.000127,0.000014,469976673.723389,1041116115.770324,3555051517.265116
2116,24,3456,256,0.000029,0.000130,0.000015,577589714.846428,1164316633.198972,4159213712.787136
2539,24,3456,256,0.000033,0.000136,0.000019,608945947.594663,1076588642.890878,4796186546.591942
3047,24,3456,256,0.000030,0.000126,0.000014,821598263.087685,1769325652.217193,6202939038.233875
3657,24,3456,256,0.000025,0.000126,0.000016,1151811161.600136,1800036763.784703,7421731051.661659
4388,24,3456,256,0.000041,0.000128,0.000014,846022220.083486,2481023716.252060,8742056335.901541
5266,24,3456,256,0.000032,0.000128,0.000014,1317570555.529279,3009572750.280446,10531506142.967188
