Number_of_elements,Kernel_reps,Cuda_blocks,Threads_per_block,T_hosttodev,T_exec,T_devtohost,Bw_HosttoDev,Bw_DevtoHost,Bw_execution
32000000,16,864,49,0.009713,0.009159,0.009745,26357422721.775269,26270316008.647831,894373818769.124878
32000000,16,864,50,0.009713,0.008988,0.009794,26356117477.266472,26138566881.775646,911457956766.876465
32000000,16,864,51,0.009708,0.010101,0.010777,26369800402.622063,23753696430.386040,810991147656.781860
32000000,16,864,52,0.009711,0.009505,0.010123,26360956455.886364,25288236498.888329,861856737417.270020
32000000,16,864,53,0.009699,0.009114,0.009936,26394098120.648464,25763699974.304157,898796422395.605957
32000000,16,864,54,0.009706,0.008958,0.009746,26374777544.360725,26266313335.110264,914487901876.676270
32000000,16,864,55,0.009711,0.008886,0.009747,26361578079.931091,26264424272.369461,921849198796.816650
32000000,16,864,56,0.009717,0.008836,0.009825,26346246903.211105,26055976987.925003,927120014633.678711
32000000,16,864,57,0.009709,0.008764,0.009824,26367426594.944874,26057520548.324657,934711454539.834717
32000000,16,864,58,0.009666,0.008533,0.009746,26485892173.324429,26266609782.533058,960001387404.303955
32000000,16,864,59,0.010117,0.008298,0.009746,25304736742.622257,26268070586.792782,987253082690.770874
32000000,16,864,60,0.009709,0.008215,0.009746,26367942596.432926,26267367108.818325,997233626254.968506
32000000,16,864,61,0.009708,0.008157,0.009762,26369876452.793270,26224523927.854446,1004318003433.113159
32000000,16,864,62,0.009713,0.008845,0.011138,26356464800.634636,22984456224.146053,926126385046.994995
32000000,16,864,63,0.009694,0.008577,0.010603,26406997855.203522,24143003536.678623,955102710896.500488
32000000,16,864,64,0.009706,0.007934,0.009746,26374204218.690979,26267205403.635574,1032581526939.532227
32000000,16,864,65,0.009708,0.008029,0.009745,26370582704.726543,26269636682.266029,1020261506550.139038
32000000,16,864,66,0.010118,0.007956,0.009745,25300427754.118538,26268663577.471451,1029716470964.586426
32000000,16,864,67,0.009711,0.007919,0.009745,26362775272.953114,26269825376.700714,1034469608258.794067
32000000,16,864,68,0.009710,0.008146,0.009980,26365821661.633842,25651328312.825687,1005684350873.071655
32000000,16,864,69,0.009702,0.007833,0.009745,26385779047.041515,26269690590.482105,1045773794787.259033
32000000,16,864,70,0.009718,0.007747,0.009745,26343611665.215279,26269744508.726334,1057416884927.028564
32000000,16,864,71,0.009675,0.007766,0.009745,26460848134.473946,26268933130.214153,1054815240607.448364
32000000,16,864,72,0.010117,0.007848,0.009746,25303158528.025551,26267798355.252151,1043872461047.161133
32000000,16,864,73,0.009704,0.007780,0.009746,26380112690.551380,26267070644.300873,1053017746525.379028
32000000,16,864,74,0.009716,0.007694,0.009746,26349316595.667152,26267639341.225697,1064755651792.785645
32000000,16,864,75,0.009687,0.007704,0.009746,26426774863.680904,26266154329.258377,1063307004508.626099
32000000,16,864,76,0.010114,0.007702,0.009826,25310953973.860767,26053587748.156837,1063619700986.978638
32000000,16,864,77,0.009875,0.007521,0.009745,25924838229.618313,26269555815.453384,1089218307878.887451
32000000,16,864,78,0.009708,0.007473,0.009745,26370531099.264614,26270528986.355011,1096166975055.251709
32000000,16,864,79,0.009872,0.007469,0.009745,25932049520.989368,26269933204.710056,1096859583582.416138
32000000,16,864,80,0.009716,0.007747,0.011141,26347602685.790531,22978832189.697067,1057433263871.799683
32000000,16,864,81,0.009704,0.007899,0.011139,26380985327.645947,22981396291.273872,1037125602334.934204
32000000,16,864,82,0.009683,0.007813,0.011134,26438122859.651302,22991695599.855751,1048488362793.847900
32000000,16,864,83,0.009711,0.007795,0.011134,26362775263.076626,22992728096.219009,1050890042750.053711
32000000,16,864,84,0.009712,0.007514,0.010124,26360109572.770046,25285351615.807953,1090288882635.666748
32000000,16,864,85,0.009712,0.007411,0.009746,26360326714.567589,26267720196.239609,1105310658495.681641
32000000,16,864,86,0.009710,0.007346,0.009746,26363538154.810982,26267828006.967621,1115189004903.311768
32000000,16,864,87,0.009710,0.007358,0.009746,26363945402.066360,26267960077.541191,1113339360254.369141
32000000,16,864,88,0.009702,0.007331,0.009747,26386434483.341789,26264534751.872742,1117515056711.552979
32000000,16,864,89,0.009719,0.007330,0.009746,26339131340.616360,26268205356.387821,1117548748344.850586
32000000,16,864,90,0.009699,0.007554,0.011140,26393850475.236961,22979246777.216846,1084492446346.339355
32000000,16,864,91,0.010108,0.007202,0.009747,25327138075.589500,26263182123.238396,1137532576603.463623
32000000,16,864,92,0.009712,0.007494,0.011133,26360052577.343891,22994652936.285282,1093201718699.497070
32000000,16,864,93,0.009683,0.007505,0.011134,26436864216.858280,22992686798.490639,1091546682520.226440
32000000,16,864,94,0.009708,0.007154,0.009745,26369224556.186649,26270555937.362774,1145140714577.816162
32000000,16,864,95,0.009709,0.007138,0.009745,26368024070.118176,26269178427.233093,1147680668028.921875
32000000,16,864,96,0.009711,0.006873,0.009745,26363046750.720703,26270502025.595078,1191921473012.549072
32000000,16,864,97,0.010104,0.007313,0.009746,25336028988.627068,26266908932.963448,1120269980533.159668
32000000,16,864,98,0.009708,0.007269,0.009746,26369387529.786949,26268313171.098366,1126936337232.208496
32000000,16,864,99,0.009713,0.007266,0.009746,26357143205.328758,26266774176.670700,1127396181417.620605
32000000,16,864,100,0.009708,0.007179,0.009746,26368955668.477898,26266887382.060654,1141087724549.269287
32000000,16,864,101,0.010111,0.007217,0.009746,25320091455.709778,26266917021.914707,1135170040266.603027
32000000,16,864,102,0.009888,0.007146,0.009747,25890480836.842720,26263429998.663391,1146441692601.364258
32000000,16,864,103,0.009679,0.007238,0.009828,26449926054.754410,26049025287.700462,1131785132944.679688
32000000,16,864,104,0.010132,0.007176,0.009747,25265704412.363487,26264917398.493656,1141567305661.975098
32000000,16,864,105,0.009700,0.007136,0.009750,26392332123.872097,26256604156.179844,1147995093461.655518
32000000,16,864,106,0.010086,0.007096,0.009746,25381971401.719482,26266321413.890350,1154430599337.971680
32000000,16,864,107,0.009712,0.007084,0.009747,26358538102.068157,26265159924.563396,1156393300287.858154
32000000,16,864,108,0.010114,0.007020,0.009751,25311737278.824364,26252449503.263565,1166975338796.125488
32000000,16,864,109,0.009712,0.007001,0.009745,26358592385.646557,26270914494.987114,1170200790890.049072
32000000,16,864,110,0.009711,0.006925,0.009745,26361936410.674568,26269237727.156055,1182880177082.255859
32000000,16,864,111,0.009706,0.006965,0.009745,26375628088.925846,26269536947.255856,1176156753232.023926
32000000,16,864,112,0.009714,0.007003,0.010778,26354595311.066116,23752770769.117058,1169745291814.419434
32000000,16,864,113,0.009714,0.007040,0.009972,26355059265.538979,25670637894.992538,1163577192596.433105
32000000,16,864,114,0.009667,0.007011,0.009973,26482771402.437042,25669376626.534039,1168442913316.476807
32000000,16,864,115,0.010117,0.007031,0.010161,25305144458.219223,25193703656.965359,1165081130290.098633
32000000,16,864,116,0.009706,0.006899,0.009746,26376035729.557907,26268348207.392654,1187498677193.838135
32000000,16,864,117,0.009710,0.006926,0.009746,26363432273.178062,26266159711.777931,1182782657669.269775
32000000,16,864,118,0.010740,0.006875,0.009746,23836248698.244408,26267779489.579140,1191548384226.416748
32000000,16,864,119,0.010167,0.007001,0.010122,25179972873.390545,25292218986.563766,1170125240209.496826
32000000,16,864,120,0.009709,0.006909,0.009973,26366698777.296654,25669554230.431767,1185716116072.143555
32000000,16,864,121,0.009710,0.006948,0.009973,26365827085.079010,25669348310.517887,1179055698781.305420
32000000,16,864,122,0.009941,0.006862,0.009746,25752431217.965157,26268264651.917648,1193747630163.318604
32000000,16,864,123,0.009719,0.006913,0.009745,26340247884.716167,26268695918.017063,1184985801600.434570
32000000,16,864,124,0.009697,0.006845,0.009746,26401001095.228516,26266836171.845234,1196752931118.313477
32000000,16,864,125,0.009702,0.006890,0.009746,26386197875.056252,26266698720.025677,1188997649566.804688
32000000,16,864,126,0.009675,0.006851,0.009747,26461020431.636333,26265324300.553112,1195783229395.122803
32000000,16,864,127,0.009702,0.006843,0.009746,26386279461.593842,26266860418.970016,1197210464766.842773
32000000,16,864,128,0.009710,0.006699,0.010278,26364985321.964077,24906883766.640770,1222831299515.445557
32000000,16,864,129,0.009697,0.006914,0.010278,26400402114.774853,24906566324.548340,1184896332462.687988
32000000,16,864,130,0.009707,0.006907,0.010465,26371541652.386246,24461685268.914726,1185958494681.564453
32000000,16,864,131,0.009706,0.006850,0.009745,26375600921.899666,26268590796.825912,1195828788083.968750
32000000,16,864,132,0.010092,0.006763,0.009746,25367353466.137802,26267078733.351730,1211211691998.181152
32000000,16,864,133,0.009710,0.006849,0.009753,26363486567.039745,26247838654.141327,1196136619105.377197
32000000,16,864,134,0.009676,0.006894,0.010779,26457897321.749310,23750320305.605095,1188252775515.816406
32000000,16,864,135,0.009707,0.006941,0.010781,26373995003.239227,23745176413.503914,1180245298320.967285
32000000,16,864,136,0.009706,0.006837,0.010776,26374701465.917637,23755794886.047756,1198140425719.189941
32000000,16,864,137,0.009716,0.006990,0.011134,26349620346.293633,22992465835.250278,1171947032999.176514
32000000,16,864,138,0.009728,0.006882,0.011133,26315424284.893360,22994287361.160000,1190340918184.343506
32000000,16,864,139,0.009715,0.006930,0.011134,26350927651.070919,22992651691.406155,1182124351732.660156
32000000,16,864,140,0.009706,0.006747,0.010281,26376198777.474991,24900306366.941994,1214085945833.390869
